tournament,tournament_id,dated
ABN AMRO World Tennis Tournament,1,09/02/2016
ABN AMRO World Tennis Tournament,1,09/02/2016
ABN AMRO World Tennis Tournament,1,09/02/2016
ABN AMRO World Tennis Tournament,1,09/02/2016
ABN AMRO World Tennis Tournament,1,09/02/2016
ABN AMRO World Tennis Tournament,1,10/02/2016
ABN AMRO World Tennis Tournament,1,10/02/2016
ABN AMRO World Tennis Tournament,1,10/02/2016
ABN AMRO World Tennis Tournament,1,10/02/2016
ABN AMRO World Tennis Tournament,1,10/02/2016
ABN AMRO World Tennis Tournament,1,10/02/2016
ABN AMRO World Tennis Tournament,1,10/02/2016
ABN AMRO World Tennis Tournament,1,10/02/2016
ABN AMRO World Tennis Tournament,1,11/02/2016
ABN AMRO World Tennis Tournament,1,11/02/2016
ABN AMRO World Tennis Tournament,1,11/02/2016
ABN AMRO World Tennis Tournament,1,11/02/2016
ABN AMRO World Tennis Tournament,1,11/02/2016
ABN AMRO World Tennis Tournament,1,12/02/2016
ABN AMRO World Tennis Tournament,1,12/02/2016
ABN AMRO World Tennis Tournament,1,12/02/2016
ABN AMRO World Tennis Tournament,1,12/02/2016
ABN AMRO World Tennis Tournament,1,13/02/2016
ABN AMRO World Tennis Tournament,1,13/02/2016
ABN AMRO World Tennis Tournament,1,14/02/2016
ABN AMRO World Tennis Tournament,1,09/02/2015
ABN AMRO World Tennis Tournament,1,09/02/2015
ABN AMRO World Tennis Tournament,1,09/02/2015
ABN AMRO World Tennis Tournament,1,09/02/2015
ABN AMRO World Tennis Tournament,1,09/02/2015
ABN AMRO World Tennis Tournament,1,10/02/2015
ABN AMRO World Tennis Tournament,1,10/02/2015
ABN AMRO World Tennis Tournament,1,10/02/2015
ABN AMRO World Tennis Tournament,1,10/02/2015
ABN AMRO World Tennis Tournament,1,10/02/2015
ABN AMRO World Tennis Tournament,1,10/02/2015
ABN AMRO World Tennis Tournament,1,10/02/2015
ABN AMRO World Tennis Tournament,1,11/02/2015
ABN AMRO World Tennis Tournament,1,11/02/2015
ABN AMRO World Tennis Tournament,1,11/02/2015
ABN AMRO World Tennis Tournament,1,11/02/2015
ABN AMRO World Tennis Tournament,1,11/02/2015
ABN AMRO World Tennis Tournament,1,11/02/2015
ABN AMRO World Tennis Tournament,1,11/02/2015
ABN AMRO World Tennis Tournament,1,12/02/2015
ABN AMRO World Tennis Tournament,1,12/02/2015
ABN AMRO World Tennis Tournament,1,12/02/2015
ABN AMRO World Tennis Tournament,1,12/02/2015
ABN AMRO World Tennis Tournament,1,12/02/2015
ABN AMRO World Tennis Tournament,1,13/02/2015
ABN AMRO World Tennis Tournament,1,13/02/2015
ABN AMRO World Tennis Tournament,1,13/02/2015
ABN AMRO World Tennis Tournament,1,13/02/2015
ABN AMRO World Tennis Tournament,1,14/02/2015
ABN AMRO World Tennis Tournament,1,14/02/2015
ABN AMRO World Tennis Tournament,1,15/02/2015
ABN AMRO World Tennis Tournament,1,10/02/2014
ABN AMRO World Tennis Tournament,1,10/02/2014
ABN AMRO World Tennis Tournament,1,10/02/2014
ABN AMRO World Tennis Tournament,1,10/02/2014
ABN AMRO World Tennis Tournament,1,10/02/2014
