atp,events_id,series,location,dated,tournament,location_id
59,59,ATP250,Lyon,27/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,27/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,27/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,27/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,27/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,27/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,27/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,27/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,27/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,28/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,28/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,28/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,28/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,28/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,28/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,29/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,29/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,29/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,29/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,29/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,29/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,30/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,30/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,30/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,30/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,31/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,31/10/2009,Grand Prix de Lyon,51
59,59,ATP250,Lyon,01/11/2009,Grand Prix de Lyon,51
