winner,winner_id,plone_flag,plone_year,plone_height,plone_weight,plone_hand
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
Almagro N.,6,ESP,2003.0,183.0,86.0,Right-Handed
