winner,w_rank,w_pts,loser,l_rank,l_pts,winner_id,loser_id
Karlovic I.,25.0,2280.0,Minar I.,97.0,950.0,287,601
Devvarman S.,202.0,412.0,Moya C.,42.0,1580.0,142,624
Granollers M.,55.0,1384.0,Beck A.,104.0,908.0,224,69
Tipsarevic J.,47.0,1500.0,Sela D.,107.0,906.0,589,808
Phau B.,118.0,850.0,Cipolla F.,138.0,632.0,468,160
Schuettler R.,33.0,1864.0,Greul S.,125.0,778.0,533,342
Cilic M.,27.0,2250.0,Istomin D.,109.0,902.0,97,400
Granollers M.,55.0,1384.0,Dlouhy L.,180.0,452.0,224,222
Schuettler R.,33.0,1864.0,Phau B.,118.0,850.0,533,701
Cilic M.,27.0,2250.0,Tipsarevic J.,47.0,1500.0,97,888
Devvarman S.,202.0,412.0,Karlovic I.,25.0,2280.0,142,430
Cilic M.,27.0,2250.0,Granollers M.,55.0,1384.0,97,335
Schuettler R.,33.0,1864.0,Devvarman S.,202.0,412.0,533,214
Cilic M.,27.0,2250.0,Schuettler R.,33.0,1864.0,97,803
Monfils G.,13.0,2950.0,Hernych J.,79.0,1068.0,411,378
Stakhovsky S.,91.0,966.0,Rochus C.,75.0,1096.0,568,753
Roddick A.,8.0,3940.0,Navarro-Pastor I.,73.0,1108.0,503,648
Devilder N.,72.0,1122.0,Hajji A.,,,141,359
Hanescu V.,48.0,1486.0,Troicki V.,56.0,1380.0,242,899
Seppi A.,34.0,1820.0,Gremelmayr D.,83.0,1036.0,538,340
Petzschner P.,66.0,1212.0,Chardy J.,74.0,1106.0,466,151
Peya A.,148.0,590.0,Tursunov D.,24.0,2290.0,467,909
Clement A.,92.0,960.0,Junqueira D.,77.0,1088.0,100,424
Murray A.,4.0,7050.0,Montanes A.,43.0,1574.0,425,613
Vliegen K.,85.0,998.0,Hernandez O.,67.0,1168.0,624,375
Kohlschreiber P.,28.0,2160.0,Chiudinelli M.,603.0,74.0,306,153
Youzhny M.,39.0,1670.0,Andreev I.,19.0,2490.0,648,26
Nadal R.,1.0,13160.0,Santoro F.,51.0,1418.0,427,792
Federer R.,2.0,10610.0,Starace P.,71.0,1128.0,180,858
Beck K.,144.0,606.0,Przysiezny M.,607.0,72.0,41,717
Monfils G.,13.0,2950.0,Devilder N.,72.0,1122.0,411,213
Hanescu V.,48.0,1486.0,Youzhny M.,39.0,1670.0,242,982
Murray A.,4.0,7050.0,Petzschner P.,66.0,1212.0,425,699
Kohlschreiber P.,28.0,2160.0,Vliegen K.,85.0,998.0,306,949
Nadal R.,1.0,13160.0,Beck K.,144.0,606.0,427,70
Stakhovsky S.,91.0,966.0,Peya A.,148.0,590.0,568,700
Federer R.,2.0,10610.0,Seppi A.,34.0,1820.0,180,809
Roddick A.,8.0,3940.0,Clement A.,92.0,960.0,503,162
Roddick A.,8.0,3940.0,Hanescu V.,48.0,1486.0,503,363
Monfils G.,13.0,2950.0,Nadal R.,1.0,13160.0,411,637
Federer R.,2.0,10610.0,Kohlschreiber P.,28.0,2160.0,180,460
Murray A.,4.0,7050.0,Stakhovsky S.,91.0,966.0,425,857
Roddick A.,8.0,3940.0,Monfils G.,13.0,2950.0,503,612
Murray A.,4.0,7050.0,Federer R.,2.0,10610.0,425,271
Murray A.,4.0,7050.0,Roddick A.,8.0,3940.0,425,755
Querrey S.,36.0,1740.0,King-Turner D.,463.0,120.0,479,446
Ferrero J.C.,65.0,1170.0,Nishikori K.,59.0,1325.0,183,660
Ginepri R.,47.0,1480.0,Statham J.,904.0,26.0,209,859
Troicki V.,53.0,1380.0,Kunitsyn I.,43.0,1562.0,594,488
Muller G.,95.0,956.0,Serra F.,58.0,1339.0,421,812
Lu Y.H.,61.0,1244.0,Darcis S.,57.0,1340.0,363,183
Kohlschreiber P.,33.0,1855.0,Hrbaty D.,250.0,302.0,306,387
Isner J.,144.0,608.0,Montanes A.,42.0,1574.0,265,613
Gulbis E.,51.0,1428.0,Granollers M.,50.0,1444.0,234,335
Reynolds B.,68.0,1144.0,Hernandez O.,67.0,1168.0,494,375
Gicquel M.,52.0,1428.0,Calleri A.,66.0,1170.0,206,132
Monaco J.,49.0,1470.0,Hanescu V.,44.0,1531.0,410,363
Querrey S.,36.0,1740.0,Muller G.,95.0,956.0,479,627
Almagro N.,18.0,2540.0,Lu Y.H.,61.0,1244.0,6,540
Del Potro J.M.,9.0,3890.0,Gulbis E.,51.0,1428.0,132,350
Isner J.,144.0,608.0,Ginepri R.,47.0,1480.0,265,313
Troicki V.,53.0,1380.0,Monaco J.,49.0,1470.0,594,611
Ferrer D.,12.0,3390.0,Gicquel M.,52.0,1428.0,182,309
Soderling R.,17.0,2650.0,Reynolds B.,68.0,1144.0,558,742
Kohlschreiber P.,33.0,1855.0,Ferrero J.C.,65.0,1170.0,306,275
Querrey S.,36.0,1740.0,Almagro N.,18.0,2540.0,479,15
Del Potro J.M.,9.0,3890.0,Troicki V.,53.0,1380.0,132,899
Ferrer D.,12.0,3390.0,Kohlschreiber P.,33.0,1855.0,182,460
Soderling R.,17.0,2650.0,Isner J.,144.0,608.0,558,399
Querrey S.,36.0,1740.0,Ferrer D.,12.0,3390.0,479,274
Del Potro J.M.,9.0,3890.0,Soderling R.,17.0,2650.0,132,847
Del Potro J.M.,9.0,3890.0,Querrey S.,36.0,1740.0,132,720
Robredo T.,22.0,2390.0,Melzer J.,32.0,1868.0,499,587
Llodra M.,56.0,1350.0,Gremelmayr D.,82.0,1036.0,356,340
Nieminen J.,40.0,1600.0,Lopez F.,28.0,2010.0,436,533
Bolelli S.,38.0,1686.0,Starace P.,71.0,1128.0,61,858
Ancic M.,35.0,1800.0,Malisse X.,201.0,416.0,11,551
Andreev I.,19.0,2490.0,Dancevic F.,131.0,698.0,14,180
Mathieu P.H.,29.0,2000.0,Seppi A.,34.0,1820.0,384,809
Tipsarevic J.,46.0,1500.0,Fish M.,24.0,2330.0,589,279
Hewitt L.,74.0,1100.0,Benneteau J.,48.0,1478.0,254,81
Guccione C.,132.0,686.0,Berdych T.,21.0,2400.0,232,83
Chardy J.,73.0,1106.0,Stepanek R.,23.0,2360.0,93,863
Gasquet R.,25.0,2330.0,Tursunov D.,30.0,1952.0,200,909
Tsonga J.W.,6.0,3995.0,Bolelli S.,38.0,1686.0,598,102
Nalbandian D.,11.0,3450.0,Llodra M.,56.0,1350.0,430,529
Ancic M.,35.0,1800.0,Robredo T.,22.0,2390.0,11,751
Djokovic N.,3.0,10590.0,Mathieu P.H.,29.0,2000.0,147,568
Hewitt L.,74.0,1100.0,Tipsarevic J.,46.0,1500.0,254,888
Nieminen J.,40.0,1600.0,Guccione C.,132.0,686.0,436,348
