winner,w_rank,w_pts,loser,l_rank,l_pts,winner_id,loser_id
Bautista Agut R.,13.0,2215.0,Schwartzman D.,23.0,1690.0,38,806
Thiem D.,4.0,4755.0,Shapovalov D.,32.0,1330.0,586,816
Garin C.,36.0,1233.0,Isner J.,15.0,2085.0,199,399
Medvedev D.,9.0,2745.0,Edmund K.,33.0,1325.0,391,246
Hurkacz H.,48.0,1023.0,Tsitsipas S.,5.0,4045.0,261,906
Monfils G.,20.0,1770.0,Ivashka I.,125.0,438.0,411,403
Khachanov K.,8.0,2890.0,Wawrinka S.,22.0,1715.0,291,962
Auger-Aliassime F.,21.0,1740.0,Raonic M.,19.0,1810.0,21,733
Mannarino A.,69.0,836.0,Coric B.,14.0,2195.0,373,170
Fognini F.,11.0,2420.0,Paul T.,128.0,427.0,187,690
Thiem D.,4.0,4755.0,Cilic M.,16.0,2030.0,586,158
Medvedev D.,9.0,2745.0,Garin C.,36.0,1233.0,391,299
Zverev A.,7.0,4005.0,Basilashvili N.,17.0,1975.0,660,64
Khachanov K.,8.0,2890.0,Auger-Aliassime F.,21.0,1740.0,291,41
Fognini F.,11.0,2420.0,Mannarino A.,69.0,836.0,187,553
Nadal R.,2.0,7945.0,Pella G.,24.0,1640.0,427,696
Bautista Agut R.,13.0,2215.0,Gasquet R.,66.0,860.0,38,301
Monfils G.,20.0,1770.0,Hurkacz H.,48.0,1023.0,411,390
Medvedev D.,9.0,2745.0,Thiem D.,4.0,4755.0,391,884
Khachanov K.,8.0,2890.0,Zverev A.,7.0,4005.0,291,1007
Nadal R.,2.0,7945.0,Fognini F.,11.0,2420.0,427,282
Monfils G.,20.0,1770.0,Bautista Agut R.,13.0,2215.0,411,67
Medvedev D.,9.0,2745.0,Khachanov K.,8.0,2890.0,391,436
Nadal R.,2.0,7945.0,Monfils G.,20.0,1770.0,427,612
Nadal R.,2.0,7945.0,Medvedev D.,9.0,2745.0,427,579
De Minaur A.,38.0,1225.0,Cecchinato M.,65.0,880.0,125,142
Isner J.,16.0,2040.0,Lajovic D.,28.0,1466.0,265,501
Albot R.,39.0,1132.0,Cilic M.,18.0,1940.0,4,158
Mannarino A.,59.0,916.0,Garin C.,32.0,1317.0,373,299
Pouille L.,31.0,1340.0,Kudla D.,111.0,491.0,474,482
Nishioka Y.,77.0,757.0,Thompson J.,49.0,1011.0,438,886
Kecmanovic M.,58.0,922.0,Auger-Aliassime F.,21.0,1785.0,289,41
Querrey S.,45.0,1035.0,Herbert P.H.,41.0,1048.0,479,374
Pella G.,22.0,1710.0,Ruud C.,54.0,951.0,463,772
Londero J.I.,55.0,940.0,Berrettini M.,26.0,1545.0,357,87
Gasquet R.,56.0,930.0,Murray A.,324.0,120.0,200,633
Struff J.L.,36.0,1235.0,Karlovic I.,80.0,675.0,576,430
Carreno Busta P.,53.0,962.0,Simon G.,35.0,1275.0,83,827
Kyrgios N.,27.0,1475.0,Sonego L.,47.0,1032.0,336,850
Wawrinka S.,23.0,1670.0,Dimitrov G.,74.0,802.0,632,218
Goffin D.,19.0,1815.0,Fritz T.,25.0,1545.0,213,286
Rublev A.,70.0,836.0,Basilashvili N.,17.0,2020.0,512,64
Paire B.,29.0,1403.0,Verdasco F.,33.0,1310.0,455,940
Tiafoe F.,52.0,970.0,Monfils G.,15.0,2130.0,588,612
Schwartzman D.,24.0,1645.0,Djere L.,37.0,1235.0,536,219
Shapovalov D.,34.0,1285.0,Sousa J.,43.0,1045.0,543,852
Medvedev D.,8.0,3230.0,Edmund K.,30.0,1360.0,391,246
Bautista Agut R.,11.0,2395.0,Hurkacz H.,40.0,1103.0,38,390
Opelka R.,42.0,1047.0,Coric B.,13.0,2195.0,450,170
Djokovic N.,1.0,12325.0,Querrey S.,45.0,1035.0,147,720
Federer R.,3.0,7460.0,Londero J.I.,55.0,940.0,180,532
Carreno Busta P.,53.0,962.0,Isner J.,16.0,2040.0,83,399
De Minaur A.,38.0,1225.0,Opelka R.,42.0,1047.0,125,678
Gasquet R.,56.0,930.0,Delbonis F.,66.0,876.0,200,204
Nishioka Y.,77.0,757.0,Nishikori K.,5.0,4040.0,438,660
Medvedev D.,8.0,3230.0,Paire B.,29.0,1403.0,391,685
Struff J.L.,36.0,1235.0,Tsitsipas S.,7.0,3455.0,576,906
Schwartzman D.,24.0,1645.0,Albot R.,39.0,1132.0,536,10
Rublev A.,70.0,836.0,Wawrinka S.,23.0,1670.0,512,962
Goffin D.,19.0,1815.0,Pella G.,22.0,1710.0,213,696
Kecmanovic M.,58.0,922.0,Zverev A.,6.0,4005.0,289,1007
Mannarino A.,59.0,916.0,Kukushkin M.,46.0,1035.0,373,486
Pouille L.,31.0,1340.0,Shapovalov D.,34.0,1285.0,474,816
Bautista Agut R.,11.0,2395.0,Tiafoe F.,52.0,970.0,38,887
Khachanov K.,9.0,2890.0,Kyrgios N.,27.0,1475.0,291,497
Nishioka Y.,77.0,757.0,De Minaur A.,38.0,1225.0,438,193
Gasquet R.,56.0,930.0,Schwartzman D.,24.0,1645.0,200,806
Goffin D.,19.0,1815.0,Mannarino A.,59.0,916.0,213,553
Medvedev D.,8.0,3230.0,Struff J.L.,36.0,1235.0,391,868
Bautista Agut R.,11.0,2395.0,Kecmanovic M.,58.0,922.0,38,433
Rublev A.,70.0,836.0,Federer R.,3.0,7460.0,512,271
Pouille L.,31.0,1340.0,Khachanov K.,9.0,2890.0,474,436
Djokovic N.,1.0,12325.0,Carreno Busta P.,53.0,962.0,147,136
Gasquet R.,56.0,930.0,Bautista Agut R.,11.0,2395.0,200,67
Goffin D.,19.0,1815.0,Nishioka Y.,77.0,757.0,213,661
Medvedev D.,8.0,3230.0,Rublev A.,70.0,836.0,391,768
Djokovic N.,1.0,12325.0,Pouille L.,31.0,1340.0,147,713
Goffin D.,19.0,1815.0,Gasquet R.,56.0,930.0,213,301
Medvedev D.,8.0,3230.0,Djokovic N.,1.0,12325.0,391,221
Medvedev D.,8.0,3230.0,Goffin D.,19.0,1815.0,391,317
Haase R.,154.0,356.0,Kudla D.,111.0,491.0,238,482
Gunneswaran P.,89.0,600.0,Stebe C.M.,253.0,172.0,235,862
Harris L.,99.0,535.0,Munar J.,97.0,550.0,245,628
Berdych T.,101.0,530.0,Seppi A.,77.0,745.0,49,809
Copil M.,96.0,552.0,Klizan M.,84.0,619.0,103,454
Andujar P.,71.0,847.0,Jarry N.,69.0,865.0,16,407
Cecchinato M.,67.0,880.0,Bublik A.,75.0,808.0,87,125
Lee D.H.,212.0,226.0,Laaksonen H.,120.0,462.0,346,498
Popyrin A.,106.0,518.0,Monteiro J.,502.0,57.0,471,615
Fratangelo B.,119.0,467.0,Weintraub A.,,,189,963
Sandgren T.,73.0,826.0,Murray A.,329.0,120.0,524,633
Carballes Baena R.,76.0,787.0,Giron M.,155.0,356.0,82,315
Chardy J.,74.0,815.0,Sarmiento R.,705.0,26.0,93,795
Johnson S.,82.0,670.0,Moutet C.,83.0,650.0,277,623
Rublev A.,47.0,1031.0,Fabbiano T.,87.0,610.0,512,267
Dzumhur D.,105.0,520.0,Hoang A.,98.0,536.0,160,381
Millman J.,61.0,911.0,Cecchinato M.,67.0,880.0,401,142
Haase R.,154.0,356.0,Sousa J.,43.0,1061.0,238,852
Paire B.,30.0,1403.0,Gunneswaran P.,89.0,600.0,455,351
Carreno Busta P.,64.0,897.0,Copil M.,96.0,552.0,83,166
Hurkacz H.,41.0,1078.0,Lee D.H.,212.0,226.0,261,511
Ruud C.,54.0,976.0,Harris L.,99.0,535.0,516,367
Krajinovic F.,51.0,1018.0,Berdych T.,101.0,530.0,318,83
Lopez F.,63.0,903.0,Andujar P.,71.0,847.0,358,29
Humbert U.,62.0,909.0,Fratangelo B.,119.0,467.0,260,285
Johnson S.,82.0,670.0,Evans D.,58.0,955.0,277,265
Kecmanovic M.,49.0,1022.0,Popyrin A.,106.0,518.0,289,710
Querrey S.,46.0,1035.0,Carballes Baena R.,76.0,787.0,479,135
Sonego L.,48.0,1026.0,Dzumhur D.,105.0,520.0,561,240
Shapovalov D.,38.0,1240.0,Sandgren T.,73.0,826.0,543,790
Rublev A.,47.0,1031.0,Ramos-Vinolas A.,50.0,1019.0,512,732
Tiafoe F.,52.0,1015.0,Chardy J.,74.0,815.0,588,151
Millman J.,61.0,911.0,Haase R.,154.0,356.0,401,354
Paire B.,30.0,1403.0,Humbert U.,62.0,909.0,455,389
Johnson S.,82.0,670.0,Ruud C.,54.0,976.0,277,772
Carreno Busta P.,64.0,897.0,Sonego L.,48.0,1026.0,83,850
Shapovalov D.,38.0,1240.0,Kecmanovic M.,49.0,1022.0,543,433
Hurkacz H.,41.0,1078.0,Lopez F.,63.0,903.0,261,533
Tiafoe F.,52.0,1015.0,Krajinovic F.,51.0,1018.0,588,475
Rublev A.,47.0,1031.0,Querrey S.,46.0,1035.0,512,720
Paire B.,30.0,1403.0,Carreno Busta P.,64.0,897.0,455,136
Johnson S.,82.0,670.0,Millman J.,61.0,911.0,277,597
Shapovalov D.,38.0,1240.0,Rublev A.,47.0,1031.0,543,768
Hurkacz H.,41.0,1078.0,Tiafoe F.,52.0,1015.0,261,887
Paire B.,30.0,1403.0,Johnson S.,82.0,670.0,455,415
Hurkacz H.,41.0,1078.0,Shapovalov D.,38.0,1240.0,261,816
Hurkacz H.,41.0,1078.0,Paire B.,30.0,1403.0,261,685
Lajovic D.,29.0,1441.0,Darcis S.,186.0,266.0,339,183
Garin C.,32.0,1321.0,Eubanks C.,188.0,265.0,199,263
Kudla D.,111.0,491.0,Tipsarevic J.,260.0,170.0,325,888
Klahn B.,108.0,503.0,Monteiro T.,101.0,532.0,299,616
Brooksby J.,394.0,88.0,Berdych T.,98.0,540.0,71,83
Basilashvili N.,18.0,1985.0,Fucsovics M.,64.0,885.0,36,287
Nishikori K.,7.0,4005.0,Trungelliti M.,205.0,237.0,437,902
De Minaur A.,38.0,1270.0,Herbert P.H.,48.0,1038.0,125,374
Evans D.,58.0,955.0,Mannarino A.,57.0,961.0,176,553
Medvedev D.,5.0,4125.0,Gunneswaran P.,88.0,610.0,391,351
Opelka R.,42.0,1076.0,Fognini F.,11.0,2510.0,450,282
Dellien H.,84.0,618.0,Kwon S.W.,90.0,599.0,138,495
Lorenzi P.,135.0,396.0,Svajda Z.,1415.0,3.0,361,873
Djokovic N.,1.0,11685.0,Carballes Baena R.,76.0,787.0,147,135
Kecmanovic M.,50.0,1026.0,Djere L.,39.0,1245.0,289,219
Dimitrov G.,78.0,722.0,Seppi A.,77.0,735.0,145,809
Londero J.I.,56.0,970.0,Querrey S.,46.0,1055.0,357,720
Goffin D.,15.0,2055.0,Moutet C.,82.0,650.0,213,623
Barrere G.,109.0,496.0,Norrie C.,62.0,915.0,32,663
Koepfer D.,118.0,474.0,Munar J.,97.0,550.0,305,628
Pouille L.,27.0,1475.0,Kohlschreiber P.,71.0,831.0,474,460
Dzumhur D.,99.0,535.0,Benchetrit E.,227.0,202.0,160,80
Coric B.,12.0,2160.0,Donskoy E.,122.0,443.0,106,230
Chardy J.,74.0,815.0,Hurkacz H.,35.0,1308.0,93,390
Cuevas P.,53.0,1013.0,Sock J.,178.0,280.0,111,846
Carreno Busta P.,69.0,852.0,Pella G.,20.0,1735.0,83,696
Lopez F.,61.0,923.0,Fritz T.,28.0,1465.0,358,286
Nishioka Y.,59.0,946.0,Giron M.,151.0,361.0,438,315
Majchrzak K.,94.0,557.0,Jarry N.,73.0,820.0,370,407
Wawrinka S.,24.0,1535.0,Sinner J.,137.0,395.0,632,830
Berankis R.,68.0,857.0,Vesely J.,140.0,385.0,48,942
Federer R.,3.0,6950.0,Nagal S.,190.0,264.0,180,639
Popyrin A.,105.0,521.0,Delbonis F.,67.0,869.0,471,204
Berrettini M.,25.0,1535.0,Gasquet R.,36.0,1280.0,53,301
Simon G.,40.0,1240.0,Fratangelo B.,117.0,474.0,548,285
Kukushkin M.,47.0,1041.0,Bautista Agut R.,10.0,2575.0,328,67
Sonego L.,49.0,1029.0,Granollers M.,91.0,576.0,561,335
Rublev A.,43.0,1066.0,Tsitsipas S.,8.0,3455.0,512,906
Bublik A.,75.0,808.0,Giraldo S.,232.0,200.0,76,314
Cilic M.,23.0,1590.0,Klizan M.,83.0,619.0,97,454
Verdasco F.,34.0,1310.0,Kamke T.,231.0,201.0,619,427
Thompson J.,55.0,976.0,Sousa J.,44.0,1061.0,587,852
Andujar P.,70.0,850.0,Edmund K.,31.0,1325.0,16,246
Isner J.,14.0,2075.0,Garcia-Lopez G.,165.0,326.0,265,298
Zverev A.,6.0,4005.0,Albot R.,41.0,1137.0,660,10
Stebe C.M.,256.0,172.0,Krajinovic F.,52.0,1018.0,572,475
Struff J.L.,37.0,1280.0,Ruud C.,54.0,980.0,576,772
Sandgren T.,72.0,826.0,Tsonga J.W.,65.0,885.0,524,907
Fabbiano T.,87.0,610.0,Thiem D.,4.0,4925.0,177,884
Chung H.,170.0,313.0,Escobedo E.,206.0,237.0,96,259
Copil M.,93.0,562.0,Humbert U.,63.0,909.0,103,389
Pospisil V.,216.0,214.0,Khachanov K.,9.0,2890.0,473,436
Kokkinakis T.,203.0,239.0,Ivashka I.,144.0,376.0,308,403
Schwartzman D.,21.0,1725.0,Haase R.,143.0,376.0,536,354
Bedene A.,80.0,685.0,Kovalik J.,362.0,102.0,43,472
Paire B.,26.0,1508.0,Schnur B.,92.0,568.0,455,799
Gerasimov E.,129.0,406.0,Harris L.,100.0,535.0,203,367
Tiafoe F.,45.0,1060.0,Karlovic I.,79.0,694.0,588,430
Hoang A.,104.0,524.0,Mayer L.,95.0,555.0,255,572
Shapovalov D.,33.0,1310.0,Auger-Aliassime F.,19.0,1750.0,543,41
Laaksonen H.,119.0,462.0,Cecchinato M.,66.0,880.0,337,142
Monfils G.,13.0,2140.0,Ramos-Vinolas A.,51.0,1019.0,411,732
Nadal R.,2.0,7945.0,Millman J.,60.0,936.0,427,597
Kyrgios N.,30.0,1430.0,Johnson S.,86.0,610.0,336,415
Dimitrov G.,78.0,722.0,Coric B.,12.0,2160.0,145,170
Nishikori K.,7.0,4005.0,Klahn B.,108.0,503.0,437,450
Federer R.,3.0,6950.0,Dzumhur D.,99.0,535.0,180,240
Djokovic N.,1.0,11685.0,Londero J.I.,56.0,970.0,147,532
Koepfer D.,118.0,474.0,Opelka R.,42.0,1076.0,305,678
Goffin D.,15.0,2055.0,Barrere G.,109.0,496.0,213,58
De Minaur A.,38.0,1270.0,Garin C.,32.0,1321.0,125,299
Majchrzak K.,94.0,557.0,Cuevas P.,53.0,1013.0,370,178
Evans D.,58.0,955.0,Pouille L.,27.0,1475.0,176,713
Kudla D.,111.0,491.0,Lajovic D.,29.0,1441.0,325,501
Zverev A.,6.0,4005.0,Tiafoe F.,45.0,1060.0,660,887
Lorenzi P.,135.0,396.0,Kecmanovic M.,50.0,1026.0,361,433
Bedene A.,80.0,685.0,Paire B.,26.0,1508.0,43,685
Carreno Busta P.,69.0,852.0,Berankis R.,68.0,857.0,83,82
Wawrinka S.,24.0,1535.0,Chardy J.,74.0,815.0,632,151
Medvedev D.,5.0,4125.0,Dellien H.,84.0,618.0,391,209
Berrettini M.,25.0,1535.0,Thompson J.,55.0,976.0,53,886
Lopez F.,61.0,923.0,Nishioka Y.,59.0,946.0,358,661
Basilashvili N.,18.0,1985.0,Brooksby J.,394.0,88.0,36,119
Isner J.,14.0,2075.0,Struff J.L.,37.0,1280.0,265,868
Popyrin A.,105.0,521.0,Kukushkin M.,47.0,1041.0,471,486
Bublik A.,75.0,808.0,Fabbiano T.,87.0,610.0,76,267
Andujar P.,70.0,850.0,Sonego L.,49.0,1029.0,16,850
Shapovalov D.,33.0,1310.0,Laaksonen H.,119.0,462.0,543,498
Rublev A.,43.0,1066.0,Simon G.,40.0,1240.0,512,827
Schwartzman D.,21.0,1725.0,Gerasimov E.,129.0,406.0,536,305
Kyrgios N.,30.0,1430.0,Hoang A.,104.0,524.0,336,381
Sandgren T.,72.0,826.0,Pospisil V.,216.0,214.0,524,712
Monfils G.,13.0,2140.0,Copil M.,93.0,562.0,411,166
Chung H.,170.0,313.0,Verdasco F.,34.0,1310.0,96,940
Nadal R.,2.0,7945.0,Kokkinakis T.,203.0,239.0,427,462
Cilic M.,23.0,1590.0,Stebe C.M.,256.0,172.0,97,862
De Minaur A.,38.0,1270.0,Nishikori K.,7.0,4005.0,125,660
Federer R.,3.0,6950.0,Evans D.,58.0,955.0,180,265
Goffin D.,15.0,2055.0,Carreno Busta P.,69.0,852.0,213,136
Wawrinka S.,24.0,1535.0,Lorenzi P.,135.0,396.0,632,538
Dimitrov G.,78.0,722.0,Majchrzak K.,94.0,557.0,145,550
Koepfer D.,118.0,474.0,Basilashvili N.,18.0,1985.0,305,64
Medvedev D.,5.0,4125.0,Lopez F.,61.0,923.0,391,533
Djokovic N.,1.0,11685.0,Kudla D.,111.0,491.0,147,482
Andujar P.,70.0,850.0,Bublik A.,75.0,808.0,16,125
Nadal R.,2.0,7945.0,Chung H.,170.0,313.0,427,156
Zverev A.,6.0,4005.0,Bedene A.,80.0,685.0,660,72
Cilic M.,23.0,1590.0,Isner J.,14.0,2075.0,97,399
Berrettini M.,25.0,1535.0,Popyrin A.,105.0,521.0,53,710
Schwartzman D.,21.0,1725.0,Sandgren T.,72.0,826.0,536,790
Monfils G.,13.0,2140.0,Shapovalov D.,33.0,1310.0,411,816
Rublev A.,43.0,1066.0,Kyrgios N.,30.0,1430.0,512,497
Federer R.,3.0,6950.0,Goffin D.,15.0,2055.0,180,317
Dimitrov G.,78.0,722.0,De Minaur A.,38.0,1270.0,145,193
Medvedev D.,5.0,4125.0,Koepfer D.,118.0,474.0,391,459
Wawrinka S.,24.0,1535.0,Djokovic N.,1.0,11685.0,632,221
Schwartzman D.,21.0,1725.0,Zverev A.,6.0,4005.0,536,1007
Berrettini M.,25.0,1535.0,Rublev A.,43.0,1066.0,53,768
Monfils G.,13.0,2140.0,Andujar P.,70.0,850.0,411,29
Nadal R.,2.0,7945.0,Cilic M.,23.0,1590.0,427,158
Medvedev D.,5.0,4125.0,Wawrinka S.,24.0,1535.0,391,962
Dimitrov G.,78.0,722.0,Federer R.,3.0,6950.0,145,271
Berrettini M.,25.0,1535.0,Monfils G.,13.0,2140.0,53,612
Nadal R.,2.0,7945.0,Schwartzman D.,21.0,1725.0,427,806
Medvedev D.,5.0,4125.0,Dimitrov G.,78.0,722.0,391,218
Nadal R.,2.0,7945.0,Berrettini M.,25.0,1535.0,427,87
Nadal R.,2.0,7945.0,Medvedev D.,5.0,4125.0,427,579
Hoang A.,109.0,521.0,Stebe C.M.,222.0,217.0,255,862
Verdasco F.,35.0,1265.0,Darcis S.,182.0,276.0,619,183
Krajinovic F.,49.0,1018.0,Gojowczyk P.,89.0,604.0,318,319
Barrere G.,98.0,558.0,Hurkacz H.,36.0,1243.0,32,390
Herbert P.H.,55.0,1003.0,Struff J.L.,39.0,1235.0,251,868
Gasquet R.,41.0,1200.0,Granollers M.,100.0,551.0,200,335
Sonego L.,51.0,1013.0,Otte O.,157.0,334.0,561,681
Tsonga J.W.,61.0,955.0,Andujar P.,52.0,1012.0,598,29
Carreno Busta P.,62.0,897.0,Lenz J.,270.0,162.0,83,516
Bedene A.,76.0,765.0,Roumane R.,431.0,78.0,43,766
Simon G.,37.0,1240.0,Copil M.,87.0,605.0,548,166
Maden Y.,129.0,429.0,Humbert U.,65.0,891.0,367,389
Barrere G.,98.0,558.0,Hoang A.,109.0,521.0,32,381
Paire B.,23.0,1508.0,Gasquet R.,41.0,1200.0,455,301
Krajinovic F.,49.0,1018.0,Verdasco F.,35.0,1265.0,318,940
Bedene A.,76.0,765.0,Simon G.,37.0,1240.0,43,827
Carreno Busta P.,62.0,897.0,Goffin D.,14.0,2055.0,83,317
Pouille L.,26.0,1430.0,Sonego L.,51.0,1013.0,474,850
Tsonga J.W.,61.0,955.0,Herbert P.H.,55.0,1003.0,598,374
Basilashvili N.,17.0,1895.0,Maden Y.,129.0,429.0,36,547
Bedene A.,76.0,765.0,Carreno Busta P.,62.0,897.0,43,136
Paire B.,23.0,1508.0,Barrere G.,98.0,558.0,455,58
Pouille L.,26.0,1430.0,Krajinovic F.,49.0,1018.0,474,475
Tsonga J.W.,61.0,955.0,Basilashvili N.,17.0,1895.0,598,64
Bedene A.,76.0,765.0,Paire B.,23.0,1508.0,43,685
Tsonga J.W.,61.0,955.0,Pouille L.,26.0,1430.0,598,713
Tsonga J.W.,61.0,955.0,Bedene A.,76.0,765.0,598,72
Mannarino A.,59.0,961.0,Travaglia S.,80.0,666.0,373,896
Kukushkin M.,57.0,996.0,Sinner J.,127.0,429.0,328,830
Dzumhur D.,86.0,605.0,Tipsarevic J.,250.0,180.0,160,888
Carballes Baena R.,77.0,757.0,Klizan M.,90.0,604.0,82,454
Gerasimov E.,119.0,468.0,Rosol L.,145.0,374.0,203,765
Donskoy E.,118.0,468.0,Viola M.,218.0,228.0,154,947
Berankis R.,63.0,892.0,Sela D.,146.0,373.0,48,808
Rublev A.,38.0,1236.0,Ivashka I.,135.0,411.0,512,403
Sousa J.,64.0,891.0,Kovalik J.,206.0,237.0,563,472
Fucsovics M.,66.0,885.0,Vatutin A.,197.0,248.0,191,931
Caruso S.,114.0,489.0,Fabbiano T.,92.0,599.0,85,267
Ruud C.,60.0,955.0,Bublik A.,70.0,860.0,516,125
Kukushkin M.,57.0,996.0,Dzumhur D.,86.0,605.0,328,240
Gerasimov E.,119.0,468.0,Mannarino A.,59.0,961.0,203,553
Coric B.,15.0,2025.0,Fucsovics M.,66.0,885.0,106,287
Ruud C.,60.0,955.0,Caruso S.,114.0,489.0,516,139
Berrettini M.,13.0,2245.0,Carballes Baena R.,77.0,757.0,53,135
Sousa J.,64.0,891.0,Khachanov K.,9.0,2810.0,563,436
Medvedev D.,4.0,5235.0,Donskoy E.,118.0,468.0,391,230
Rublev A.,38.0,1236.0,Berankis R.,63.0,892.0,512,82
Coric B.,15.0,2025.0,Ruud C.,60.0,955.0,106,772
Sousa J.,64.0,891.0,Kukushkin M.,57.0,996.0,563,486
Gerasimov E.,119.0,468.0,Berrettini M.,13.0,2245.0,203,87
Medvedev D.,4.0,5235.0,Rublev A.,38.0,1236.0,391,768
Coric B.,15.0,2025.0,Sousa J.,64.0,891.0,106,852
Medvedev D.,4.0,5235.0,Gerasimov E.,119.0,468.0,391,305
Medvedev D.,4.0,5235.0,Coric B.,15.0,2025.0,391,170
Garin C.,33.0,1297.0,Edmund K.,32.0,1325.0,199,246
Klahn B.,97.0,566.0,Jung J.,132.0,417.0,299,423
Evans D.,48.0,1038.0,Bai Y.,222.0,215.0,176,49
Carreno Busta P.,63.0,942.0,Albot R.,42.0,1087.0,83,10
Lajovic D.,29.0,1396.0,Londero J.I.,57.0,997.0,339,532
Verdasco F.,35.0,1265.0,Popyrin A.,90.0,592.0,619,710
Harris L.,111.0,510.0,Fucsovics M.,66.0,885.0,245,287
Gerasimov E.,98.0,565.0,Li Z.,234.0,205.0,203,521
Sousa J.,62.0,961.0,Chung H.,145.0,383.0,563,156
Thompson J.,54.0,1008.0,Pospisil V.,223.0,214.0,587,712
Bublik A.,71.0,860.0,Fritz T.,30.0,1385.0,76,286
Shapovalov D.,34.0,1285.0,Berankis R.,70.0,867.0,543,82
Dimitrov G.,26.0,1432.0,Evans D.,48.0,1038.0,145,265
Carreno Busta P.,63.0,942.0,Paire B.,23.0,1553.0,83,685
Garin C.,33.0,1297.0,Verdasco F.,35.0,1265.0,199,940
Shapovalov D.,34.0,1285.0,Klahn B.,97.0,566.0,543,450
Sousa J.,62.0,961.0,Auger-Aliassime F.,20.0,1725.0,563,41
Bublik A.,71.0,860.0,Thompson J.,54.0,1008.0,76,886
Harris L.,111.0,510.0,Lajovic D.,29.0,1396.0,245,501
Gerasimov E.,98.0,565.0,Isner J.,19.0,1805.0,203,399
Bublik A.,71.0,860.0,Dimitrov G.,26.0,1432.0,76,218
Harris L.,111.0,510.0,Sousa J.,62.0,961.0,245,852
Shapovalov D.,34.0,1285.0,Gerasimov E.,98.0,565.0,543,305
Carreno Busta P.,63.0,942.0,Garin C.,33.0,1297.0,83,299
Bublik A.,71.0,860.0,Harris L.,111.0,510.0,76,367
Carreno Busta P.,63.0,942.0,Shapovalov D.,34.0,1285.0,83,816
Carreno Busta P.,63.0,942.0,Bublik A.,71.0,860.0,83,125
Norrie C.,68.0,880.0,Gojowczyk P.,92.0,590.0,440,319
Ramos-Vinolas A.,46.0,1050.0,Nishioka Y.,60.0,981.0,487,661
Wu D.,339.0,116.0,Ito T.,141.0,401.0,642,401
Mannarino A.,61.0,971.0,Zhang Ze.,333.0,121.0,373,999
Andujar P.,53.0,1012.0,Johnson S.,94.0,575.0,16,415
Kecmanovic M.,50.0,1029.0,Ruud C.,59.0,983.0,289,772
Zhang Zh.,224.0,213.0,Koepfer D.,85.0,614.0,657,459
Dzumhur D.,93.0,586.0,Cecchinato M.,67.0,880.0,160,142
De Minaur A.,31.0,1360.0,Millman J.,79.0,691.0,125,597
Murray A.,413.0,82.0,Sandgren T.,69.0,871.0,425,790
Kwon S.W.,91.0,592.0,Pouille L.,24.0,1520.0,335,713
Seppi A.,74.0,795.0,Kyrgios N.,27.0,1430.0,538,497
Ramos-Vinolas A.,46.0,1050.0,Kecmanovic M.,50.0,1029.0,487,433
Monfils G.,12.0,2330.0,Norrie C.,68.0,880.0,411,663
Seppi A.,74.0,795.0,Zhang Zh.,224.0,213.0,538,1000
Dzumhur D.,93.0,586.0,Kwon S.W.,91.0,592.0,160,495
Bautista Agut R.,10.0,2530.0,Andujar P.,53.0,1012.0,38,29
Mannarino A.,61.0,971.0,Tsitsipas S.,7.0,3420.0,373,906
Coric B.,14.0,2130.0,Wu D.,339.0,116.0,106,973
De Minaur A.,31.0,1360.0,Murray A.,413.0,82.0,125,633
Ramos-Vinolas A.,46.0,1050.0,Monfils G.,12.0,2330.0,487,612
Mannarino A.,61.0,971.0,Dzumhur D.,93.0,586.0,373,240
Bautista Agut R.,10.0,2530.0,Seppi A.,74.0,795.0,38,809
De Minaur A.,31.0,1360.0,Coric B.,14.0,2130.0,125,170
Mannarino A.,61.0,971.0,Ramos-Vinolas A.,46.0,1050.0,373,732
De Minaur A.,31.0,1360.0,Bautista Agut R.,10.0,2530.0,125,67
De Minaur A.,31.0,1360.0,Mannarino A.,61.0,971.0,125,553
Rublev A.,35.0,1261.0,Dimitrov G.,26.0,1465.0,512,218
Khachanov K.,9.0,2810.0,Cuevas P.,47.0,1058.0,291,178
Chardy J.,72.0,815.0,Cecchinato M.,65.0,880.0,93,142
Zhang Zh.,213.0,233.0,Edmund K.,34.0,1325.0,657,246
Evans D.,48.0,1053.0,Li Z.,235.0,205.0,176,521
Zverev A.,6.0,4095.0,Tiafoe F.,46.0,1060.0,660,887
Norrie C.,69.0,855.0,Garin C.,33.0,1336.0,440,299
Auger-Aliassime F.,20.0,1719.0,Ramos-Vinolas A.,44.0,1095.0,21,732
Isner J.,19.0,1805.0,Monfils G.,11.0,2375.0,265,612
Murray A.,503.0,57.0,Berrettini M.,13.0,2270.0,425,87
Fognini F.,12.0,2370.0,Kukushkin M.,60.0,996.0,187,486
Basilashvili N.,17.0,1895.0,Pella G.,22.0,1655.0,36,696
Thiem D.,5.0,4415.0,Gasquet R.,42.0,1175.0,586,301
Tsitsipas S.,7.0,3420.0,Lajovic D.,29.0,1416.0,597,501
Querrey S.,55.0,1010.0,Bautista Agut R.,10.0,2575.0,479,67
Schwartzman D.,16.0,1995.0,Verdasco F.,38.0,1195.0,536,940
Murray A.,503.0,57.0,Norrie C.,69.0,855.0,425,663
Khachanov K.,9.0,2810.0,Chardy J.,72.0,815.0,291,151
