loser,best_of,l_one,l_two,l_three,l_four,l_five,loser_id
Monfils G.,3,6.0,1.0,,,,612
Brown D.,3,6.0,6.0,4.0,,,120
Anderson K.,3,6.0,7.0,2.0,,,23
Karlovic I.,3,3.0,4.0,,,,430
Elias G.,3,4.0,4.0,,,,253
Kamke T.,3,3.0,6.0,,,,427
Dimitrov G.,3,4.0,5.0,,,,218
Zverev A.,3,7.0,6.0,4.0,,,1007
Sock J.,3,5.0,1.0,,,,846
Kuznetsov An.,3,4.0,4.0,,,,493
Lajovic D.,3,5.0,1.0,,,,501
Marchenko I.,3,4.0,2.0,,,,556
Youzhny M.,3,4.0,2.0,,,,982
Laaksonen H.,3,3.0,6.0,2.0,,,498
Dimitrov G.,3,7.0,4.0,4.0,,,218
Mahut N.,3,4.0,6.0,,,,549
Raonic M.,3,6.0,3.0,3.0,,,733
Chiudinelli M.,3,7.0,1.0,4.0,,,153
Paire B.,3,1.0,7.0,4.0,,,685
Baghdatis M.,3,4.0,6.0,,,,47
Mannarino A.,3,3.0,3.0,,,,553
Verdasco F.,3,5.0,3.0,,,,940
Gasquet R.,3,2.0,1.0,,,,301
Fritz T.,3,6.0,0.0,,,,286
Haase R.,3,3.0,4.0,,,,354
Lorenzi P.,3,6.0,2.0,,,,538
Berankis R.,3,7.0,6.0,3.0,,,82
Mayer F.,3,3.0,2.0,,,,571
Sock J.,3,3.0,1.0,,,,846
Carreno Busta P.,3,0.0,6.0,,,,136
Goffin D.,3,5.0,3.0,,,,317
Young D.,3,6.0,7.0,4.0,,,981
Pella G.,3,4.0,2.0,,,,696
Delbonis F.,3,7.0,4.0,6.0,,,204
Del Potro J.M.,3,5.0,4.0,,,,203
Wawrinka S.,3,2.0,7.0,1.0,,,962
Granollers M.,3,3.0,3.0,,,,335
Muller G.,3,6.0,6.0,3.0,,,627
Zverev M.,3,6.0,5.0,3.0,,,1008
Nishikori K.,3,1.0,6.0,,,,660
Seppi A.,3,4.0,4.0,,,,809
Johnson S.,3,6.0,3.0,,,,415
Almagro N.,3,3.0,7.0,0.0,,,15
Struff J.L.,3,7.0,3.0,4.0,,,868
Berdych T.,3,4.0,7.0,5.0,,,83
Edmund K.,3,2.0,,,,,246
Anderson K.,3,6.0,6.0,5.0,,,23
Pouille L.,3,4.0,6.0,5.0,,,713
Garcia-Lopez G.,3,4.0,5.0,,,,298
Becker B.,3,3.0,4.0,,,,71
Cuevas P.,3,3.0,0.0,,,,178
Melzer G.,3,0.0,3.0,,,,586
Bautista Agut R.,3,3.0,5.0,,,,67
Robert S.,3,6.0,3.0,6.0,,,750
Fognini F.,3,2.0,2.0,,,,282
Klizan M.,3,3.0,7.0,0.0,,,454
Lopez F.,3,6.0,6.0,6.0,,,533
Dzumhur D.,3,6.0,6.0,6.0,,,240
Basilashvili N.,3,2.0,5.0,,,,64
Kohlschreiber P.,3,6.0,2.0,,,,460
Melzer J.,3,6.0,4.0,0.0,,,587
Thiem D.,3,2.0,5.0,,,,884
Simon G.,3,6.0,2.0,2.0,,,827
Sousa J.,3,2.0,6.0,,,,852
Khachanov K.,3,7.0,6.0,3.0,,,436
Ramos-Vinolas A.,3,2.0,6.0,,,,732
Troicki V.,3,3.0,6.0,5.0,,,899
Isner J.,3,1.0,3.0,,,,399
Karlovic I.,3,7.0,5.0,6.0,,,430
Ferrer D.,3,,,,,,274
Tsonga J.W.,3,3.0,6.0,,,,907
Fognini F.,3,3.0,1.0,,,,282
Pella G.,3,4.0,5.0,,,,696
Haase R.,3,2.0,2.0,,,,354
Seppi A.,3,4.0,4.0,,,,809
Mathieu P.H.,3,2.0,4.0,,,,568
Marchenko I.,3,1.0,1.0,,,,556
Paire B.,3,4.0,6.0,,,,685
Benneteau J.,3,6.0,3.0,2.0,,,81
Robert S.,3,1.0,4.0,,,,750
Klizan M.,3,6.0,4.0,3.0,,,454
Zverev M.,3,6.0,4.0,,,,1008
Mannarino A.,3,4.0,6.0,6.0,,,553
Kohlschreiber P.,3,2.0,6.0,,,,460
Herbert P.H.,3,6.0,4.0,,,,374
Lajovic D.,3,6.0,6.0,,,,501
Almagro N.,3,3.0,3.0,,,,15
Sousa J.,3,3.0,6.0,5.0,,,852
Carreno Busta P.,3,6.0,4.0,,,,136
Johnson S.,3,4.0,6.0,,,,415
Baghdatis M.,3,3.0,,,,,47
Mahut N.,3,6.0,3.0,,,,549
Troicki V.,3,2.0,5.0,,,,899
Lopez F.,3,7.0,3.0,4.0,,,533
Karlovic I.,3,6.0,2.0,,,,430
Thiem D.,3,2.0,4.0,,,,884
Ramos-Vinolas A.,3,3.0,4.0,,,,732
Bautista Agut R.,3,6.0,1.0,6.0,,,67
Muller G.,3,3.0,4.0,,,,627
Lorenzi P.,3,1.0,2.0,,,,538
Verdasco F.,3,3.0,7.0,5.0,,,940
Ferrer D.,3,6.0,6.0,,,,274
Wawrinka S.,3,6.0,6.0,6.0,,,962
Goffin D.,3,3.0,6.0,,,,317
Gasquet R.,3,2.0,6.0,5.0,,,301
Cuevas P.,3,6.0,1.0,2.0,,,178
Dimitrov G.,3,6.0,2.0,3.0,,,218
Struff J.L.,3,4.0,7.0,3.0,,,868
Pouille L.,3,3.0,0.0,,,,713
Nishikori K.,3,6.0,3.0,6.0,,,660
Simon G.,3,4.0,3.0,,,,827
Sock J.,3,6.0,6.0,4.0,,,846
Djokovic N.,3,4.0,6.0,,,,221
Berdych T.,3,6.0,5.0,,,,83
Tsonga J.W.,3,2.0,6.0,,,,907
Cilic M.,3,4.0,3.0,,,,158
Raonic M.,3,,,,,,733
Isner J.,3,3.0,7.0,4.0,,,399
Thiem D.,3,7.0,0.0,2.0,,,884
Monfils G.,3,3.0,4.0,,,,612
Wawrinka S.,3,2.0,3.0,,,,962
Cilic M.,3,3.0,2.0,,,,158
Monfils G.,3,3.0,6.0,4.0,,,612
Raonic M.,3,6.0,6.0,,,,733
Nishikori K.,3,7.0,4.0,4.0,,,660
Cilic M.,3,6.0,6.0,,,,158
Goffin D.,3,1.0,2.0,,,,317
Thiem D.,3,6.0,3.0,,,,884
Wawrinka S.,3,4.0,2.0,,,,962
Nishikori K.,3,6.0,2.0,3.0,,,660
Raonic M.,3,7.0,6.0,6.0,,,733
Nishikori K.,3,1.0,1.0,,,,660
Djokovic N.,3,3.0,4.0,,,,221
Simon G.,3,2.0,2.0,,,,827
Benneteau J.,3,4.0,3.0,,,,81
Golubev A.,3,4.0,4.0,,,,321
Querrey S.,3,5.0,6.0,,,,720
Copil M.,3,4.0,6.0,4.0,,,166
Anderson K.,3,6.0,4.0,,,,23
Matosevic M.,3,6.0,6.0,5.0,,,569
Kudla D.,3,6.0,1.0,4.0,,,482
Melzer J.,3,7.0,6.0,1.0,,,587
Williams R.,3,3.0,1.0,,,,968
Berlocq C.,3,2.0,3.0,,,,85
Hewitt L.,3,3.0,2.0,,,,379
Dolgopolov O.,3,6.0,6.0,6.0,,,225
Johnson S.,3,4.0,5.0,,,,415
Chardy J.,3,6.0,4.0,6.0,,,151
Kokkinakis T.,3,6.0,1.0,,,,462
Kukushkin M.,3,3.0,4.0,,,,486
Kubot L.,3,4.0,7.0,6.0,,,481
Nieminen J.,3,6.0,6.0,3.0,,,656
Millman J.,3,6.0,4.0,3.0,,,597
Groth S.,3,6.0,6.0,6.0,,,347
Klizan M.,3,3.0,4.0,,,,454
Tomic B.,3,0.0,4.0,,,,891
Duckworth J.,3,0.0,1.0,,,,234
Nishikori K.,3,7.0,6.0,6.0,,,660
Dimitrov G.,3,2.0,2.0,,,,218
Raonic M.,3,4.0,7.0,4.0,,,733
Roger-Vasselin E.,3,7.0,1.0,6.0,,,759
Granollers M.,3,6.0,6.0,0.0,,,335
Haase R.,3,2.0,2.0,,,,354
Sijsling I.,3,4.0,6.0,3.0,,,821
Vanni L.,3,1.0,6.0,5.0,,,925
Prashanth V.,3,2.0,1.0,,,,714
Lacko L.,3,6.0,3.0,,,,499
Ramanathan R.,3,3.0,3.0,,,,728
Donskoy E.,3,7.0,2.0,3.0,,,230
Gonzalez A.,3,1.0,3.0,,,,328
Devvarman S.,3,3.0,4.0,,,,214
Falla A.,3,0.0,1.0,,,,268
Berankis R.,3,0.0,6.0,6.0,,,82
Ymer E.,3,4.0,3.0,,,,979
Vesely J.,3,7.0,4.0,4.0,,,942
Coric B.,3,1.0,4.0,,,,170
Ito T.,3,7.0,2.0,0.0,,,401
Carreno-Busta P.,3,4.0,4.0,,,,137
Gojowczyk P.,3,3.0,2.0,,,,319
Lopez F.,3,4.0,4.0,,,,533
Garcia-Lopez G.,3,6.0,3.0,2.0,,,298
Lu Y.H.,3,6.0,4.0,,,,540
Haider-Maurer A.,3,5.0,2.0,,,,356
Muller G.,3,2.0,6.0,,,,627
Bautista R.,3,6.0,3.0,6.0,,,68
Goffin D.,3,5.0,3.0,,,,317
Bedene A.,3,3.0,4.0,,,,72
Becker B.,3,3.0,6.0,,,,71
Safwat M.,3,3.0,1.0,,,,782
Andujar P.,3,3.0,5.0,,,,29
Lorenzi P.,3,6.0,3.0,,,,538
Gabashvili T.,3,6.0,3.0,6.0,,,288
Rosol L.,3,6.0,3.0,,,,765
Istomin D.,3,1.0,4.0,,,,400
Mayer L.,3,7.0,6.0,6.0,,,572
Monaco J.,3,6.0,4.0,,,,611
Ali Mutawa J.M.,3,1.0,1.0,,,,14
Youzhny M.,3,5.0,2.0,,,,982
Lajovic D.,3,2.0,1.0,,,,501
Kohlschreiber P.,3,6.0,6.0,1.0,,,460
Nadal R.,3,6.0,3.0,4.0,,,637
Jaziri M.,3,6.0,4.0,3.0,,,409
De Bakker T.,3,7.0,4.0,3.0,,,188
Basilashvili N.,3,6.0,3.0,,,,64
Struff J.L.,3,6.0,4.0,,,,868
Souza J.,3,5.0,2.0,,,,854
Verdasco F.,3,3.0,2.0,,,,940
Stakhovsky S.,3,2.0,1.0,,,,857
Berrer M.,3,6.0,2.0,,,,86
Kavcic B.,3,1.0,2.0,,,,432
Bolelli S.,3,3.0,2.0,,,,102
Brown D.,3,2.0,2.0,,,,120
Djokovic N.,3,7.0,6.0,4.0,,,221
Gasquet R.,3,2.0,1.0,,,,301
Dodig I.,3,5.0,4.0,,,,223
Karlovic I.,3,7.0,6.0,6.0,,,430
Seppi A.,3,2.0,3.0,,,,809
Berdych T.,3,4.0,5.0,,,,83
Delbonis F.,3,1.0,1.0,,,,204
Thiem D.,3,7.0,4.0,3.0,,,884
Sousa J.,3,5.0,4.0,,,,852
Giraldo S.,3,2.0,3.0,,,,314
Statham J.,3,4.0,4.0,,,,859
Coric B.,3,4.0,3.0,,,,170
Bellucci T.,3,3.0,6.0,,,,77
Soeda G.,3,7.0,1.0,3.0,,,849
Garcia-Lopez G.,3,2.0,6.0,1.0,,,298
Lorenzi P.,3,4.0,3.0,,,,538
Gonzalez A.,3,7.0,3.0,6.0,,,328
Monaco J.,3,4.0,6.0,1.0,,,611
Carreno-Busta P.,3,7.0,4.0,1.0,,,137
De Schepper K.,3,2.0,4.0,,,,195
Struff J.L.,3,6.0,1.0,,,,868
Bautista R.,3,2.0,1.0,,,,68
Schwartzman D.,3,6.0,4.0,1.0,,,806
Venus M.,3,5.0,4.0,,,,939
Lu Y.H.,3,2.0,4.0,,,,540
Gulbis E.,3,2.0,6.0,1.0,,,350
Falla A.,3,3.0,1.0,,,,268
Ramos-Vinolas A.,3,3.0,2.0,,,,732
Young D.,3,2.0,3.0,,,,981
Johnson S.,3,4.0,6.0,,,,415
Pouille L.,3,4.0,6.0,5.0,,,713
Anderson K.,3,4.0,6.0,,,,23
Mannarino A.,3,3.0,2.0,,,,553
Almagro N.,3,6.0,4.0,,,,15
Becker B.,3,6.0,2.0,,,,71
Matosevic M.,3,3.0,2.0,,,,569
Stakhovsky S.,3,3.0,6.0,,,,857
Nieminen J.,3,2.0,2.0,,,,656
Sijsling I.,3,1.0,2.0,,,,821
Istomin D.,3,3.0,6.0,,,,400
Seppi A.,3,3.0,6.0,,,,809
Querrey S.,3,4.0,4.0,,,,720
Klizan M.,3,2.0,3.0,,,,454
Groth S.,3,6.0,3.0,6.0,,,347
Kyrgios N.,3,1.0,7.0,6.0,,,497
Fognini F.,3,6.0,2.0,2.0,,,282
Goffin D.,3,3.0,3.0,,,,317
Cuevas P.,3,5.0,5.0,,,,178
Pospisil V.,3,6.0,3.0,,,,712
Janowicz J.,3,6.0,1.0,6.0,,,405
Andujar P.,3,6.0,3.0,3.0,,,29
Chardy J.,3,6.0,6.0,4.0,,,151
Kohlschreiber P.,3,3.0,4.0,,,,460
Del Potro J.M.,3,6.0,6.0,,,,203
Benneteau J.,3,3.0,6.0,,,,81
Bolelli S.,3,3.0,6.0,5.0,,,102
Tomic B.,3,6.0,6.0,,,,891
Mayer L.,3,4.0,4.0,,,,572
Muller G.,3,2.0,4.0,,,,627
Kukushkin M.,3,2.0,3.0,,,,486
Sijsling I.,5,6.0,4.0,6.0,7.0,4.0,821
Brown D.,5,2.0,3.0,2.0,,,120
Schwartzman D.,5,6.0,5.0,7.0,4.0,,806
Coric B.,5,6.0,4.0,5.0,4.0,,170
Gonzalez M.,5,6.0,2.0,5.0,7.0,1.0,330
Kudryavtsev A.,5,4.0,7.0,6.0,5.0,3.0,483
Istomin D.,5,7.0,3.0,6.0,1.0,4.0,400
Thompson J.,5,4.0,6.0,4.0,,,886
Ito T.,5,6.0,2.0,4.0,,,401
Berlocq C.,5,1.0,3.0,1.0,,,85
Bhambri Y.,5,3.0,4.0,6.0,,,91
Russell M.,5,3.0,3.0,7.0,0.0,,771
Kavcic B.,5,2.0,7.0,6.0,6.0,2.0,432
Gabashvili T.,5,2.0,7.0,6.0,4.0,4.0,288
Falla A.,5,3.0,6.0,3.0,,,268
Youzhny M.,5,3.0,2.0,2.0,,,982
Kamke T.,5,5.0,7.0,3.0,2.0,,427
Saville L.,5,6.0,5.0,4.0,,,797
De Schepper K.,5,6.0,2.0,7.0,3.0,4.0,195
Millman J.,5,3.0,3.0,2.0,,,597
Mathieu P.H.,5,2.0,2.0,1.0,,,568
Struff J.L.,5,4.0,6.0,6.0,3.0,5.0,868
Robredo T.,5,3.0,,,,,751
Estrella Burgos V.,5,1.0,4.0,2.0,,,260
Krajinovic F.,5,3.0,6.0,4.0,,,475
Monaco J.,5,3.0,6.0,3.0,1.0,,611
Vesely J.,5,3.0,6.0,2.0,3.0,,942
Gulbis E.,5,7.0,0.0,6.0,6.0,6.0,350
Lu Y.H.,5,4.0,2.0,5.0,,,540
Kukushkin M.,5,2.0,3.0,6.0,6.0,,486
Bemelmans R.,5,4.0,2.0,4.0,,,79
Delbonis F.,5,6.0,6.0,3.0,7.0,3.0,204
Fognini F.,5,6.0,2.0,3.0,4.0,,282
Kudla D.,5,6.0,2.0,6.0,2.0,8.0,482
Rola B.,5,6.0,3.0,2.0,,,761
Almagro N.,5,4.0,6.0,2.0,,,15
Edmund K.,5,4.0,4.0,3.0,,,246
Gojowczyk P.,5,7.0,5.0,4.0,0.0,,319
Hernych J.,5,3.0,2.0,2.0,,,378
Puetz T.,5,4.0,6.0,3.0,2.0,,718
Ward J.,5,6.0,0.0,6.0,3.0,,960
Marchenko I.,5,6.0,6.0,3.0,,,556
Ilhan M.,5,1.0,4.0,2.0,,,395
Lokoli L.,5,4.0,5.0,6.0,3.0,,531
Robert S.,5,3.0,4.0,4.0,,,750
Souza J.,5,4.0,5.0,4.0,,,854
Wang J.,5,6.0,4.0,4.0,,,957
Thiem D.,5,6.0,2.0,3.0,6.0,,884
Carreno-Busta P.,5,4.0,6.0,6.0,,,137
Haase R.,5,1.0,3.0,4.0,,,354
Bedene A.,5,3.0,2.0,4.0,,,72
Bellucci T.,5,7.0,2.0,0.0,3.0,,77
Cuevas P.,5,6.0,3.0,1.0,,,178
Ymer E.,5,6.0,4.0,6.0,3.0,3.0,979
Andujar P.,5,2.0,2.0,5.0,,,29
Golubev A.,5,1.0,2.0,6.0,,,321
Lajovic D.,5,3.0,6.0,4.0,7.0,4.0,501
Moriya H.,5,6.0,6.0,3.0,5.0,,619
Ramos-Vinolas A.,5,1.0,6.0,3.0,6.0,,732
Benneteau J.,5,5.0,7.0,2.0,4.0,,81
Dolgopolov O.,5,4.0,3.0,2.0,,,225
Zhang Z.,5,3.0,6.0,0.0,4.0,,997
Querrey S.,5,3.0,7.0,6.0,4.0,4.0,720
Pouille L.,5,7.0,6.0,4.0,1.0,4.0,713
Melzer J.,5,6.0,2.0,2.0,,,587
Goffin D.,5,1.0,4.0,6.0,0.0,,317
Mayer L.,5,4.0,6.0,4.0,0.0,,572
Klizan M.,5,6.0,6.0,4.0,0.0,,454
Duckworth J.,5,2.0,3.0,5.0,,,234
Matosevic M.,5,1.0,3.0,2.0,,,569
Berankis R.,5,2.0,2.0,6.0,,,82
Lacko L.,5,3.0,7.0,3.0,3.0,,499
Bolelli S.,5,6.0,3.0,2.0,2.0,,102
Chardy J.,5,5.0,6.0,2.0,1.0,,151
Rosol L.,5,6.0,7.0,5.0,3.0,,765
Karlovic I.,5,6.0,4.0,7.0,4.0,,430
Roger-Vasselin E.,5,6.0,3.0,4.0,6.0,3.0,759
Kokkinakis T.,5,6.0,3.0,5.0,6.0,1.0,462
Smyczek T.,5,2.0,6.0,7.0,3.0,5.0,844
Kohlschreiber P.,5,7.0,4.0,6.0,6.0,,460
Haider-Maurer A.,5,4.0,6.0,6.0,4.0,,356
Mannarino A.,5,6.0,6.0,6.0,0.0,,553
Bachinger M.,5,6.0,5.0,5.0,,,45
Dodig I.,5,6.0,5.0,2.0,6.0,,223
Gonzalez A.,5,1.0,3.0,3.0,,,328
Giraldo S.,5,3.0,4.0,2.0,,,314
Lorenzi P.,5,7.0,6.0,3.0,4.0,,538
Copil M.,5,6.0,6.0,3.0,,,166
Bautista R.,5,6.0,6.0,5.0,1.0,,68
Kuznetsov An.,5,0.0,1.0,4.0,,,493
Granollers M.,5,6.0,2.0,4.0,,,335
Stakhovsky S.,5,7.0,3.0,4.0,2.0,,857
Monfils G.,5,4.0,6.0,7.0,3.0,3.0,612
Hewitt L.,5,6.0,6.0,3.0,4.0,2.0,379
Soeda G.,5,3.0,2.0,6.0,,,849
Young D.,5,4.0,6.0,3.0,,,981
Baghdatis M.,5,6.0,3.0,6.0,3.0,3.0,47
Troicki V.,5,4.0,3.0,4.0,,,899
Federer R.,5,4.0,6.0,6.0,6.0,,271
Sousa J.,5,1.0,1.0,5.0,,,852
Groth S.,5,4.0,6.0,3.0,,,347
Gasquet R.,5,4.0,6.0,6.0,,,301
Jaziri M.,5,3.0,6.0,1.0,,,409
Sela D.,5,1.0,0.0,5.0,,,808
Becker B.,5,4.0,3.0,3.0,,,71
Janowicz J.,5,6.0,4.0,6.0,,,405
Nieminen J.,5,4.0,2.0,4.0,,,656
Pospisil V.,5,2.0,4.0,4.0,,,712
Johnson S.,5,7.0,1.0,2.0,3.0,,415
Isner J.,5,6.0,6.0,4.0,,,399
Verdasco F.,5,6.0,3.0,4.0,,,940
Simon G.,5,2.0,5.0,7.0,6.0,,827
Tomic B.,5,2.0,6.0,2.0,,,891
Anderson K.,5,5.0,1.0,4.0,,,23
Seppi A.,5,7.0,6.0,3.0,6.0,6.0,809
Dimitrov G.,5,4.0,7.0,3.0,5.0,,218
Garcia-Lopez G.,5,6.0,4.0,6.0,6.0,,298
Ferrer D.,5,3.0,3.0,3.0,,,274
Lopez F.,5,4.0,6.0,3.0,7.0,3.0,533
Muller G.,5,4.0,5.0,5.0,,,627
Nadal R.,5,2.0,0.0,6.0,,,637
Kyrgios N.,5,3.0,6.0,3.0,,,497
Nishikori K.,5,3.0,4.0,6.0,,,660
Raonic M.,5,6.0,4.0,2.0,,,733
Berdych T.,5,7.0,0.0,3.0,5.0,,83
Wawrinka S.,5,6.0,6.0,4.0,6.0,0.0,962
Murray A.,5,6.0,7.0,3.0,0.0,,633
Millot V.,3,6.0,3.0,5.0,,,598
Lokoli L.,3,2.0,4.0,,,,531
Brown D.,3,6.0,6.0,5.0,,,120
Ilhan M.,3,4.0,6.0,3.0,,,395
Struff J.L.,3,6.0,3.0,,,,868
Beck A.,3,6.0,3.0,4.0,,,69
Zopp J.,3,3.0,4.0,,,,1004
Kudryavtsev A.,3,4.0,6.0,,,,483
Daniel T.,3,3.0,7.0,1.0,,,182
Basilashvili N.,3,7.0,2.0,4.0,,,64
Ito T.,3,2.0,2.0,,,,401
Jaziri M.,3,6.0,,,,,409
Kamke T.,3,6.0,4.0,3.0,,,427
Roger-Vasselin E.,3,3.0,3.0,,,,759
Pouille L.,3,3.0,6.0,,,,713
Paire B.,3,2.0,6.0,3.0,,,685
Nieminen J.,3,2.0,6.0,,,,656
Mathieu P.H.,3,6.0,6.0,4.0,,,568
De Schepper K.,3,4.0,6.0,,,,195
Sela D.,3,6.0,2.0,,,,808
Simon G.,3,2.0,5.0,,,,827
Kohlschreiber P.,3,6.0,4.0,,,,460
Istomin D.,3,3.0,4.0,,,,400
Darcis S.,3,6.0,2.0,3.0,,,183
Sousa J.,3,6.0,6.0,1.0,,,852
Monfils G.,3,4.0,3.0,,,,612
Janowicz J.,3,0.0,,,,,405
Krajicek A.,3,6.0,4.0,,,,474
Arguello F.,3,1.0,3.0,,,,35
Souza J.,3,7.0,1.0,4.0,,,854
Vanni L.,3,6.0,4.0,,,,925
Donskoy E.,3,6.0,6.0,1.0,,,230
Haider-Maurer A.,3,6.0,6.0,6.0,,,356
Escobar G.,3,6.0,4.0,3.0,,,258
Menendez-Maceiras A.,3,6.0,4.0,6.0,,,588
Fucsovics M.,3,6.0,4.0,4.0,,,287
Bagnis F.,3,2.0,4.0,,,,48
Ghem A.,3,4.0,4.0,,,,307
Lapentti G.,3,3.0,7.0,2.0,,,506
Giraldo S.,3,6.0,5.0,,,,314
Olivo R.,3,6.0,4.0,,,,677
Zeballos H.,3,2.0,6.0,6.0,,,992
Gimeno-Traver D.,3,3.0,7.0,5.0,,,312
Gonzalez A.,3,5.0,2.0,,,,328
Jarry N.,3,4.0,6.0,3.0,,,407
Falla A.,3,5.0,1.0,,,,268
Melzer G.,3,6.0,4.0,,,,586
Montanes A.,3,3.0,6.0,,,,613
Klizan M.,3,2.0,2.0,,,,454
Lajovic D.,3,6.0,5.0,1.0,,,501
Lorenzi P.,3,1.0,2.0,,,,538
Bellucci T.,3,6.0,5.0,,,,77
Verdasco F.,3,6.0,6.0,,,,940
Lopez F.,3,2.0,7.0,6.0,,,533
Lacko L.,3,0.0,2.0,,,,499
Coric B.,3,2.0,4.0,,,,170
Bachinger M.,3,6.0,5.0,,,,45
Marchenko I.,3,6.0,6.0,6.0,,,556
Berrer M.,3,2.0,6.0,5.0,,,86
Kavcic B.,3,3.0,6.0,4.0,,,432
Androic T.,3,7.0,2.0,3.0,,,28
Haase R.,3,2.0,6.0,4.0,,,354
Dancevic F.,3,4.0,5.0,,,,180
Veic A.,3,2.0,4.0,,,,935
Melzer J.,3,2.0,6.0,,,,587
Delic M.,3,2.0,3.0,,,,207
Stakhovsky S.,3,2.0,1.0,,,,857
Karlovic I.,3,6.0,6.0,6.0,,,430
Ward J.,3,5.0,7.0,3.0,,,960
Soeda G.,3,3.0,1.0,,,,849
Dzumhur D.,3,1.0,1.0,,,,240
Muller G.,3,6.0,6.0,4.0,,,627
Dodig I.,3,6.0,6.0,3.0,,,223
Mannarino A.,3,6.0,6.0,1.0,,,553
Troicki V.,3,1.0,7.0,5.0,,,899
Berankis R.,3,6.0,2.0,6.0,,,82
Youzhny M.,3,6.0,3.0,4.0,,,982
Sijsling I.,3,4.0,6.0,4.0,,,821
Baghdatis M.,3,4.0,4.0,,,,47
Granollers M.,3,6.0,1.0,,,,335
Seppi A.,3,6.0,3.0,,,,809
Gabashvili T.,3,2.0,2.0,,,,288
Mannarino A.,3,3.0,6.0,,,,553
Matosevic M.,3,4.0,4.0,,,,569
Kozlov S.,3,5.0,0.0,,,,473
Lacko L.,3,6.0,3.0,,,,499
Sijsling I.,3,6.0,3.0,2.0,,,821
Jaziri M.,3,6.0,6.0,,,,409
Kukushkin M.,3,2.0,7.0,6.0,,,486
Kokkinakis T.,3,3.0,4.0,,,,462
Lu Y.H.,3,4.0,3.0,,,,540
Becker B.,3,6.0,2.0,1.0,,,71
Krajinovic F.,3,3.0,3.0,,,,475
Karlovic I.,3,6.0,6.0,4.0,,,430
Donaldson J.,3,4.0,1.0,,,,227
Harrison R.,3,6.0,3.0,4.0,,,369
Dodig I.,3,4.0,6.0,,,,223
Dolgopolov O.,3,1.0,5.0,,,,225
Kudla D.,3,5.0,3.0,,,,482
Brown D.,3,6.0,5.0,6.0,,,120
Groth S.,3,3.0,2.0,,,,347
Tomic B.,3,6.0,6.0,5.0,,,891
Johnson S.,3,4.0,4.0,,,,415
Krajicek A.,3,6.0,3.0,4.0,,,474
Isner J.,3,6.0,6.0,,,,399
Young D.,3,6.0,3.0,4.0,,,981
Querrey S.,3,7.0,6.0,6.0,,,720
Anderson K.,3,4.0,4.0,,,,23
Rosol L.,3,3.0,1.0,,,,765
Zverev A.,3,4.0,1.0,,,,1007
Gulbis E.,3,4.0,2.0,,,,350
Mathieu P.H.,3,6.0,6.0,2.0,,,568
Goffin D.,3,6.0,7.0,3.0,,,317
Benneteau J.,3,3.0,,,,,81
Kohlschreiber P.,3,4.0,2.0,,,,460
Granollers M.,3,2.0,6.0,,,,335
Sousa J.,3,7.0,3.0,2.0,,,852
Kuznetsov An.,3,7.0,1.0,5.0,,,493
Kamke T.,3,1.0,5.0,,,,427
Roger-Vasselin E.,3,3.0,2.0,,,,759
Haase R.,3,7.0,3.0,3.0,,,354
Istomin D.,3,6.0,4.0,,,,400
Mahut N.,3,3.0,2.0,,,,549
Huta Galung J.,3,3.0,6.0,3.0,,,391
Thiem D.,3,1.0,3.0,,,,884
Bautista R.,3,5.0,6.0,,,,68
Dimitrov G.,3,2.0,6.0,,,,218
Chardy J.,3,4.0,3.0,,,,151
Seppi A.,3,0.0,6.0,3.0,,,809
Pospisil V.,3,3.0,5.0,,,,712
Garcia-Lopez G.,3,7.0,4.0,2.0,,,298
Bolelli S.,3,3.0,6.0,,,,102
Monfils G.,3,1.0,4.0,,,,612
Murray A.,3,4.0,2.0,,,,633
Muller G.,3,6.0,3.0,,,,627
Stakhovsky S.,3,6.0,3.0,4.0,,,857
Simon G.,3,2.0,1.0,,,,827
Raonic M.,3,6.0,6.0,,,,733
Berdych T.,3,6.0,3.0,4.0,,,83
Vesely J.,3,4.0,6.0,5.0,,,942
Clezar G.,3,5.0,5.0,,,,163
Rola B.,3,6.0,4.0,,,,761
Delbonis F.,3,3.0,6.0,4.0,,,204
Lorenzi P.,3,5.0,4.0,,,,538
Monaco J.,3,7.0,6.0,4.0,,,611
Carreno-Busta P.,3,2.0,6.0,,,,137
Andujar P.,3,6.0,3.0,2.0,,,29
Gonzalez M.,3,2.0,3.0,,,,330
Coppejans K.,3,5.0,6.0,,,,167
Bellucci T.,3,7.0,3.0,5.0,,,77
Pella G.,3,4.0,6.0,,,,696
Ramos-Vinolas A.,3,4.0,6.0,1.0,,,732
Bagnis F.,3,1.0,,,,,48
Robredo T.,3,3.0,6.0,,,,751
Berlocq C.,3,6.0,5.0,3.0,,,85
Schwartzman D.,3,3.0,6.0,2.0,,,806
De Bakker T.,3,6.0,6.0,3.0,,,188
Verdasco F.,3,7.0,3.0,4.0,,,940
Klizan M.,3,6.0,3.0,2.0,,,454
Lajovic D.,3,6.0,6.0,,,,501
Mayer L.,3,4.0,6.0,3.0,,,572
Almagro N.,3,6.0,6.0,2.0,,,15
Fognini F.,3,6.0,5.0,,,,282
Souza J.,3,4.0,7.0,4.0,,,854
Giraldo S.,3,4.0,3.0,,,,314
Vanni L.,3,4.0,6.0,6.0,,,925
