loser,best_of,l_one,l_two,l_three,l_four,l_five,loser_id
Bagnis F.,3,4.0,7.0,6.0,,,48
Paire B.,3,4.0,5.0,,,,685
Hanfmann Y.,3,3.0,4.0,,,,364
Rune H.,3,2.0,4.0,,,,770
Jarry N.,3,6.0,3.0,4.0,,,407
Martin A.,3,4.0,3.0,,,,563
Coria F.,3,6.0,2.0,,,,168
Dellien H.,3,5.0,3.0,,,,209
Delbonis F.,3,4.0,2.0,,,,204
Cerundolo F.,3,4.0,1.0,,,,145
Verdasco F.,3,6.0,5.0,,,,940
Munar J.,3,2.0,6.0,1.0,,,628
Martinez P.,3,3.0,6.0,,,,565
Ficovich J.P.,3,3.0,2.0,,,,276
Etcheverry T.,3,3.0,6.0,,,,262
Varillas J.P.,3,4.0,3.0,,,,928
Carballes Baena R.,3,6.0,6.0,2.0,,,135
Garin C.,3,6.0,1.0,1.0,,,299
Taberner C.,3,2.0,4.0,,,,876
Sonego L.,3,6.0,5.0,,,,850
Milojevic N.,3,4.0,5.0,,,,599
Galan D.E.,3,6.0,0.0,5.0,,,291
Baez S.,3,1.0,6.0,,,,46
Schwartzman D.,3,3.0,6.0,,,,806
Londero J.I.,3,6.0,4.0,,,,532
Tabilo A.,3,6.0,3.0,4.0,,,877
Bonzi B.,3,6.0,5.0,1.0,,,104
Griekspoor T.,3,6.0,6.0,,,,343
Popyrin A.,3,5.0,6.0,,,,710
Gojowczyk P.,3,5.0,2.0,,,,319
Zuk K.,3,4.0,4.0,,,,1006
Molcan A.,3,6.0,0.0,,,,608
Pouille L.,3,6.0,7.0,4.0,,,713
Gaston H.,3,2.0,1.0,,,,302
Moutet C.,3,6.0,4.0,,,,623
Ivashka I.,3,3.0,6.0,,,,403
Humbert U.,3,7.0,4.0,3.0,,,389
Davidovich Fokina A.,3,2.0,4.0,,,,185
Herbert P.H.,3,3.0,7.0,2.0,,,374
Tsonga J.W.,3,4.0,6.0,,,,907
Simon G.,3,4.0,2.0,,,,827
Basilashvili N.,3,1.0,7.0,2.0,,,64
Goffin D.,3,4.0,2.0,,,,317
Kwon S.W.,3,5.0,4.0,,,,495
Mcdonald M.,3,2.0,6.0,,,,575
Monfils G.,3,1.0,2.0,,,,612
Dzumhur D.,3,5.0,2.0,,,,240
Bautista Agut R.,3,4.0,6.0,6.0,,,67
Gasquet R.,3,5.0,7.0,1.0,,,301
Mannarino A.,3,1.0,0.0,,,,553
Krajinovic F.,3,4.0,2.0,,,,475
Ymer M.,3,1.0,3.0,,,,980
Zverev A.,3,4.0,3.0,,,,1007
Gaio F.,3,2.0,6.0,,,,289
Berankis R.,3,1.0,2.0,,,,82
Kovalik J.,3,7.0,2.0,5.0,,,472
Gunneswaran P.,3,6.0,2.0,,,,351
Gerasimov E.,3,0.0,6.0,,,,305
Moroni G.M.,3,5.0,6.0,4.0,,,621
Clarke J.,3,3.0,5.0,,,,161
Grenier H.,3,6.0,2.0,6.0,,,341
Kadhe A.,3,7.0,6.0,2.0,,,426
Novak D.,3,4.0,1.0,,,,664
Ilkel C.,3,4.0,2.0,,,,396
Ramanathan R.,3,6.0,6.0,3.0,,,728
Halys Q.,3,3.0,6.0,,,,361
